Year,Number.thousands,realGDPperCap,PopulationK,percentile,income
1970,52227,24155.639318,205089,40,43905
1970,52227,24155.639318,205089,60,59625
1970,52227,24155.639318,205089,80,81957
1970,52227,24155.639318,205089,50,51164.7889177704
1970,52227,24155.639318,205089,90,88450
1970,52227,24155.639318,205089,95,112141
1970,52227,24155.639318,205089,99,214726
1970,52227,24155.639318,205089,99.5,299235
1970,52227,24155.639318,205089,99.9,625572
1970,52227,24155.639318,205089,99.99,2113010
1971,53296,24638.107763,207692,20,26344
1971,53296,24638.107763,207692,40,43619
1971,53296,24638.107763,207692,60,59786
1971,53296,24638.107763,207692,80,81990
1971,53296,24638.107763,207692,50,51066.6773346377
1971,53296,24638.107763,207692,90,89763
1971,53296,24638.107763,207692,95,114953
1971,53296,24638.107763,207692,99,222489
1971,53296,24638.107763,207692,99.5,308895
1971,53296,24638.107763,207692,99.9,656323
1971,53296,24638.107763,207692,99.99,2322711
1972,54373,25655.72817,209924,20,27545
1972,54373,25655.72817,209924,40,45647
1972,54373,25655.72817,209924,60,63096
1972,54373,25655.72817,209924,80,87171
1972,54373,25655.72817,209924,50,53666.964810766
1972,54373,25655.72817,209924,90,94439
1972,54373,25655.72817,209924,95,120830
1972,54373,25655.72817,209924,99,235328
1972,54373,25655.72817,209924,99.5,332098
1972,54373,25655.72817,209924,99.9,713071
1972,54373,25655.72817,209924,99.99,2546847
1973,55053,26845.70149,211939,20,28089
1973,55053,26845.70149,211939,40,46349
1973,55053,26845.70149,211939,60,64668
1973,55053,26845.70149,211939,80,88933
1973,55053,26845.70149,211939,50,54747.576494307
1973,55053,26845.70149,211939,90,95902
1973,55053,26845.70149,211939,95,123518
1973,55053,26845.70149,211939,99,240363
1973,55053,26845.70149,211939,99.5,328392
1973,55053,26845.70149,211939,99.9,685448
1973,55053,26845.70149,211939,99.99,2278492
1974,55698,26462.372986,213898,20,28164
1974,55698,26462.372986,213898,40,46015
1974,55698,26462.372986,213898,60,63316
1974,55698,26462.372986,213898,80,87462
1974,55698,26462.372986,213898,50,53976.7147944371
1974,55698,26462.372986,213898,90,92992
1974,55698,26462.372986,213898,95,120569
1974,55698,26462.372986,213898,99,226613
1974,55698,26462.372986,213898,99.5,314586
1974,55698,26462.372986,213898,99.9,681786
1974,55698,26462.372986,213898,99.99,2131758
1975,56245,26155.134728,215981,20,27112
1975,56245,26155.134728,215981,40,44643
1975,56245,26155.134728,215981,60,62085
1975,56245,26155.134728,215981,80,85961
1975,56245,26155.134728,215981,50,52646.5635630665
1975,56245,26155.134728,215981,90,89924
1975,56245,26155.134728,215981,95,114443
1975,56245,26155.134728,215981,99,213587
1975,56245,26155.134728,215981,99.5,293415
1975,56245,26155.134728,215981,99.9,592124
1975,56245,26155.134728,215981,99.99,1848829
1976,56710,27298.095071,218086,20,27537
1976,56710,27298.095071,218086,40,45861
1976,56710,27298.095071,218086,60,63793
1976,56710,27298.095071,218086,80,88105
1976,56710,27298.095071,218086,50,54088.9154356047
1976,56710,27298.095071,218086,90,92568
1976,56710,27298.095071,218086,95,117966
1976,56710,27298.095071,218086,99,219046
1976,56710,27298.095071,218086,99.5,298829
1976,56710,27298.095071,218086,99.9,611948
1976,56710,27298.095071,218086,99.99,1924541
1977,57215,28270.697691,220289,20,27611
1977,57215,28270.697691,220289,40,46238
1977,57215,28270.697691,220289,60,65369
1977,57215,28270.697691,220289,80,90067
1977,57215,28270.697691,220289,50,54977.557439377
1977,57215,28270.697691,220289,90,93591
1977,57215,28270.697691,220289,95,119687
1977,57215,28270.697691,220289,99,222475
1977,57215,28270.697691,220289,99.5,304187
1977,57215,28270.697691,220289,99.9,630465
1977,57215,28270.697691,220289,99.99,2056801
1978,57804,29529.158533,222629,20,28449
1978,57804,29529.158533,222629,40,47802
1978,57804,29529.158533,222629,60,66923
1978,57804,29529.158533,222629,80,93021
1978,57804,29529.158533,222629,50,56560.1736737079
1978,57804,29529.158533,222629,90,95296
1978,57804,29529.158533,222629,95,121481
1978,57804,29529.158533,222629,99,225622
1978,57804,29529.158533,222629,99.5,309660
1978,57804,29529.158533,222629,99.9,645419
1978,57804,29529.158533,222629,99.99,2018698
1979,59550,30131.611404,225106,20,29066
1979,59550,30131.611404,225106,40,47795
1979,59550,30131.611404,225106,60,67711
1979,59550,30131.611404,225106,80,93237
1979,59550,30131.611404,225106,50,56888.0237396238
1979,59550,30131.611404,225106,90,95273
1979,59550,30131.611404,225106,95,122252
1979,59550,30131.611404,225106,99,231318
1979,59550,30131.611404,225106,99.5,325904
1979,59550,30131.611404,225106,99.9,729144
1979,59550,30131.611404,225106,99.99,2906708
1980,60309,29712.085953,227726,20,27592
1980,60309,29712.085953,227726,40,46455
1980,60309,29712.085953,227726,60,65795
1980,60309,29712.085953,227726,80,92325
1980,60309,29712.085953,227726,50,55285.6828211428
1980,60309,29712.085953,227726,90,94057
1980,60309,29712.085953,227726,95,120204
1980,60309,29712.085953,227726,99,227595
1980,60309,29712.085953,227726,99.5,320083
1980,60309,29712.085953,227726,99.9,731318
1980,60309,29712.085953,227726,99.99,2774744
1981,61019,30180.651074,230008,20,26683
1981,61019,30180.651074,230008,40,45420
1981,61019,30180.651074,230008,60,64819
1981,61019,30180.651074,230008,80,91567
1981,61019,30180.651074,230008,50,54259.367670477
1981,61019,30180.651074,230008,90,92777
1981,61019,30180.651074,230008,95,118398
1981,61019,30180.651074,230008,99,217833
1981,61019,30180.651074,230008,99.5,305654
1981,61019,30180.651074,230008,99.9,735352
1981,61019,30180.651074,230008,99.99,2880738
1982,61393,29322.288833,232218,20,26042
1982,61393,29322.288833,232218,40,44599
1982,61393,29322.288833,232218,60,63853
1982,61393,29322.288833,232218,80,91615
1982,61393,29322.288833,232218,50,53364.5945079694
1982,61393,29322.288833,232218,90,91836
1982,61393,29322.288833,232218,95,116523
1982,61393,29322.288833,232218,99,217546
1982,61393,29322.288833,232218,99.5,307822
1982,61393,29322.288833,232218,99.9,773150
1982,61393,29322.288833,232218,99.99,3460786
1983,62015,30403.797324,234333,20,25931
1983,62015,30403.797324,234333,40,44414
1983,62015,30403.797324,234333,60,64581
1983,62015,30403.797324,234333,80,92345
1983,62015,30403.797324,234333,50,53556.5171944554
1983,62015,30403.797324,234333,90,92419
1983,62015,30403.797324,234333,95,118865
1983,62015,30403.797324,234333,99,225854
1983,62015,30403.797324,234333,99.5,324009
1983,62015,30403.797324,234333,99.9,848233
1983,62015,30403.797324,234333,99.99,3724338
1984,62706,32326.48842,236394,20,26469
1984,62706,32326.48842,236394,40,46042
1984,62706,32326.48842,236394,60,66691
1984,62706,32326.48842,236394,80,95904
1984,62706,32326.48842,236394,50,55412.8777632059
1984,62706,32326.48842,236394,90,94849
1984,62706,32326.48842,236394,95,123194
1984,62706,32326.48842,236394,99,236533
1984,62706,32326.48842,236394,99.5,336670
1984,62706,32326.48842,236394,99.9,879457
1984,62706,32326.48842,236394,99.99,4336427
1985,63558,33398.504007,238506,20,27035
1985,63558,33398.504007,238506,40,46573
1985,63558,33398.504007,238506,60,67464
1985,63558,33398.504007,238506,80,98146
1985,63558,33398.504007,238506,50,56053.5536072424
1985,63558,33398.504007,238506,90,97106
1985,63558,33398.504007,238506,95,127617
1985,63558,33398.504007,238506,99,251585
1985,63558,33398.504007,238506,99.5,358239
1985,63558,33398.504007,238506,99.9,1010074
1985,63558,33398.504007,238506,99.99,4634247
1986,64491,34258.714424,240683,20,27983
1986,64491,34258.714424,240683,40,48171
1986,64491,34258.714424,240683,60,70198
1986,64491,34258.714424,240683,80,101080
1986,64491,34258.714424,240683,50,58150.7339420579
1986,64491,34258.714424,240683,90,101086
1986,64491,34258.714424,240683,95,136431
1986,64491,34258.714424,240683,99,286619
1986,64491,34258.714424,240683,99.5,462468
1986,64491,34258.714424,240683,99.9,1292177
1986,64491,34258.714424,240683,99.99,6999670
1987,65204,35129.31033,242843,20,28225
1987,65204,35129.31033,242843,40,48689
1987,65204,35129.31033,242843,60,71154
1987,65204,35129.31033,242843,80,103113
1987,65204,35129.31033,242843,50,58859.2992313024
1987,65204,35129.31033,242843,90,100982
1987,65204,35129.31033,242843,95,130668
1987,65204,35129.31033,242843,99,264424
1987,65204,35129.31033,242843,99.5,383445
1987,65204,35129.31033,242843,99.9,965452
1987,65204,35129.31033,242843,99.99,3922394
1988,65837,36274.706905,245061,20,28166
1988,65837,36274.706905,245061,40,48831
1988,65837,36274.706905,245061,60,71804
1988,65837,36274.706905,245061,80,104267
1988,65837,36274.706905,245061,50,59213.6903426902
1988,65837,36274.706905,245061,90,102248
1988,65837,36274.706905,245061,95,134223
1988,65837,36274.706905,245061,99,287756
1988,65837,36274.706905,245061,99.5,439068
1988,65837,36274.706905,245061,99.9,1250581
1988,65837,36274.706905,245061,99.99,5794640
1989,66090,37256.308882,247387,20,28612
1989,66090,37256.308882,247387,40,50062
1989,66090,37256.308882,247387,60,72947
1989,66090,37256.308882,247387,80,106470
1989,66090,37256.308882,247387,50,60430.726571836
1989,66090,37256.308882,247387,90,102854
1989,66090,37256.308882,247387,95,135907
1989,66090,37256.308882,247387,99,286946
1989,66090,37256.308882,247387,99.5,434471
1989,66090,37256.308882,247387,99.9,1155888
1989,66090,37256.308882,247387,99.99,5000383
1990,66322,37547.071071,250181,20,28689
1990,66322,37547.071071,250181,40,49463
1990,66322,37547.071071,250181,60,71595
1990,66322,37547.071071,250181,80,104719
1990,66322,37547.071071,250181,50,59508.852156633
1990,66322,37547.071071,250181,90,101217
1990,66322,37547.071071,250181,95,133087
1990,66322,37547.071071,250181,99,278970
1990,66322,37547.071071,250181,99.5,423099
1990,66322,37547.071071,250181,99.9,1126027
1990,66322,37547.071071,250181,99.99,4746961
1991,67173,37024.173776,253530,20,27949
1991,67173,37024.173776,253530,40,47861
1991,67173,37024.173776,253530,60,70695
1991,67173,37024.173776,253530,80,103562
1991,67173,37024.173776,253530,50,58168.1475981486
1991,67173,37024.173776,253530,90,101283
1991,67173,37024.173776,253530,95,134359
1991,67173,37024.173776,253530,99,270637
1991,67173,37024.173776,253530,99.5,404542
1991,67173,37024.173776,253530,99.9,1017937
1991,67173,37024.173776,253530,99.99,4098306
1992,68216,37834.283922,256922,20,26798
1992,68216,37834.283922,256922,40,47580
1992,68216,37834.283922,256922,60,70551
1992,68216,37834.283922,256922,80,102699
1992,68216,37834.283922,256922,50,57938.0408712618
1992,68216,37834.283922,256922,90,101106
1992,68216,37834.283922,256922,95,133130
1992,68216,37834.283922,256922,99,281705
1992,68216,37834.283922,256922,99.5,427414
1992,68216,37834.283922,256922,99.9,1118561
1992,68216,37834.283922,256922,99.99,4931449
1993,68506,38371.042537,260282,20,26554
1993,68506,38371.042537,260282,40,46942
1993,68506,38371.042537,260282,60,70460
1993,68506,38371.042537,260282,80,104515
1993,68506,38371.042537,260282,50,57511.1582216877
1993,68506,38371.042537,260282,90,101122
1993,68506,38371.042537,260282,95,133354
1993,68506,38371.042537,260282,99,282509
1993,68506,38371.042537,260282,99.5,414915
1993,68506,38371.042537,260282,99.9,1069678
1993,68506,38371.042537,260282,99.99,4575756
1994,69313,39439.088746,263455,20,27485
1994,69313,39439.088746,263455,40,47953
1994,69313,39439.088746,263455,60,72005
1994,69313,39439.088746,263455,80,107239
1994,69313,39439.088746,263455,50,58761.0054798248
1994,69313,39439.088746,263455,90,102630
1994,69313,39439.088746,263455,95,136422
1994,69313,39439.088746,263455,99,289648
1994,69313,39439.088746,263455,99.5,423487
1994,69313,39439.088746,263455,99.9,1091132
1994,69313,39439.088746,263455,99.99,4686668
1995,69597,40035.188512,266588,20,28529
1995,69597,40035.188512,266588,40,49346
1995,69597,40035.188512,266588,60,73282
1995,69597,40035.188512,266588,80,108101
1995,69597,40035.188512,266588,50,60134.6287258847
1995,69597,40035.188512,266588,90,105319
1995,69597,40035.188512,266588,95,140713
1995,69597,40035.188512,266588,99,303934
1995,69597,40035.188512,266588,99.5,451369
1995,69597,40035.188512,266588,99.9,1191111
1995,69597,40035.188512,266588,99.99,5324879
1996,70241,41073.243865,269714,20,28678
1996,70241,41073.243865,269714,40,50004
1996,70241,41073.243865,269714,60,74443
1996,70241,41073.243865,269714,80,109752
1996,70241,41073.243865,269714,50,61011.8658295253
1996,70241,41073.243865,269714,90,104423
1996,70241,41073.243865,269714,95,142352
1996,70241,41073.243865,269714,99,323492
1996,70241,41073.243865,269714,99.5,488866
1996,70241,41073.243865,269714,99.9,1335255
1996,70241,41073.243865,269714,99.99,6438531
1997,70884,42406.335314,272958,20,29364
1997,70884,42406.335314,272958,40,51350
1997,70884,42406.335314,272958,60,76478
1997,70884,42406.335314,272958,80,114112
1997,70884,42406.335314,272958,50,62666.9394497609
1997,70884,42406.335314,272958,90,108571
1997,70884,42406.335314,272958,95,148693
1997,70884,42406.335314,272958,99,348589
1997,70884,42406.335314,272958,99.5,532013
1997,70884,42406.335314,272958,99.9,1534707
1997,70884,42406.335314,272958,99.99,7725466
1998,71551,43780.716695,276154,20,30386
1998,71551,43780.716695,276154,40,53024
1998,71551,43780.716695,276154,60,78807
1998,71551,43780.716695,276154,80,117736
1998,71551,43780.716695,276154,50,64642.5739586536
1998,71551,43780.716695,276154,90,112632
1998,71551,43780.716695,276154,95,155859
1998,71551,43780.716695,276154,99,368725
1998,71551,43780.716695,276154,99.5,576824
1998,71551,43780.716695,276154,99.9,1717648
1998,71551,43780.716695,276154,99.99,9080061
1999,73206,45380.974586,279328,20,31413
1999,73206,45380.974586,279328,40,54421
1999,73206,45380.974586,279328,60,81675
1999,73206,45380.974586,279328,80,121311
1999,73206,45380.974586,279328,50,66669.5970814284
1999,73206,45380.974586,279328,90,116917
1999,73206,45380.974586,279328,95,162182
1999,73206,45380.974586,279328,99,395789
1999,73206,45380.974586,279328,99.5,619103
1999,73206,45380.974586,279328,99.9,1897323
1999,73206,45380.974586,279328,99.99,10171760
2000,73778,46723.831965,282398,20,32000
2000,73778,46723.831965,282398,40,54453
2000,73778,46723.831965,282398,60,81767
2000,73778,46723.831965,282398,80,121832
2000,73778,46723.831965,282398,50,66726.7446456067
2000,73778,46723.831965,282398,90,119963
2000,73778,46723.831965,282398,95,170032
2000,73778,46723.831965,282398,99,418237
2000,73778,46723.831965,282398,99.5,643835
2000,73778,46723.831965,282398,99.9,2063277
2000,73778,46723.831965,282398,99.99,11668765
2001,74340,46699.585156,285225,20,31126
2001,74340,46699.585156,285225,40,53339
2001,74340,46699.585156,285225,60,81058
2001,74340,46699.585156,285225,80,122105
2001,74340,46699.585156,285225,50,65753.7273620287
2001,74340,46699.585156,285225,90,116705
2001,74340,46699.585156,285225,95,162631
2001,74340,46699.585156,285225,99,376479
2001,74340,46699.585156,285225,99.5,568240
2001,74340,46699.585156,285225,99.9,1645796
2001,74340,46699.585156,285225,99.99,8110433
2002,75616,47078.450735,287955,20,30631
2002,75616,47078.450735,287955,40,52890
2002,75616,47078.450735,287955,60,80407
2002,75616,47078.450735,287955,80,120571
2002,75616,47078.450735,287955,50,65212.9299295776
2002,75616,47078.450735,287955,90,113370
2002,75616,47078.450735,287955,95,156302
2002,75616,47078.450735,287955,99,351724
2002,75616,47078.450735,287955,99.5,528020
2002,75616,47078.450735,287955,99.9,1445167
2002,75616,47078.450735,287955,99.99,6781853
2003,76232,47947.629006,290626,20,30108
2003,76232,47947.629006,290626,40,52505
2003,76232,47947.629006,290626,60,81148
2003,76232,47947.629006,290626,80,122595
2003,76232,47947.629006,290626,50,65273.8518857283
2003,76232,47947.629006,290626,90,112635
2003,76232,47947.629006,290626,95,155449
2003,76232,47947.629006,290626,99,351898
2003,76232,47947.629006,290626,99.5,529876
2003,76232,47947.629006,290626,99.9,1473864
2003,76232,47947.629006,290626,99.99,7125299
2004,76866,49321.348824,293262,20,30112
2004,76866,49321.348824,293262,40,52756
2004,76866,49321.348824,293262,60,80007
2004,76866,49321.348824,293262,80,121557
2004,76866,49321.348824,293262,50,64968.063631295
2004,76866,49321.348824,293262,90,114516
2004,76866,49321.348824,293262,95,160076
2004,76866,49321.348824,293262,99,382162
2004,76866,49321.348824,293262,99.5,583407
2004,76866,49321.348824,293262,99.9,1751929
2004,76866,49321.348824,293262,99.99,9148783
2005,77418,50503.908438,295993,20,30128
2005,77418,50503.908438,295993,40,52951
2005,77418,50503.908438,295993,60,80335
2005,77418,50503.908438,295993,80,121260
2005,77418,50503.908438,295993,50,65221.304686429
2005,77418,50503.908438,295993,90,116706
2005,77418,50503.908438,295993,95,164797
2005,77418,50503.908438,295993,99,412213
2005,77418,50503.908438,295993,99.5,642055
2005,77418,50503.908438,295993,99.9,2026280
2005,77418,50503.908438,295993,99.99,11273452
2006,78454,51360.433004,298818,20,30748
2006,78454,51360.433004,298818,40,53524
2006,78454,51360.433004,298818,60,81083
2006,78454,51360.433004,298818,80,124301
2006,78454,51360.433004,298818,50,65877.8148696509
2006,78454,51360.433004,298818,90,118845
2006,78454,51360.433004,298818,95,168349
2006,78454,51360.433004,298818,99,428594
2006,78454,51360.433004,298818,99.5,674906
2006,78454,51360.433004,298818,99.9,2174835
2006,78454,51360.433004,298818,99.99,11936625
